,chi,tree,mps
0,1,0.8651998269420066,0.7478176728517663
1,6,0.8826322029149178,0.7816516160312675
2,11,0.904917778952685,0.8193436858433919
3,16,0.9340480706897112,0.8705539809109133
4,21,0.9537671193305003,0.9064781974219047
5,26,0.9690680231389192,0.9410050674210726
6,31,0.9841690251711602,0.9686503672656864
7,36,0.9908048364008707,0.981060794059858
8,41,0.9954386682435732,0.9911418406416952
9,46,0.9977199884683275,0.9957675309854811
